UserID,Time,XPos,Zpos
1234,0.3820162,2.840534E-07,-4.172325E-07
1234,0.5949379,5.317852E-07,-1.261011E-06
1234,0.8548067,8.484349E-07,-2.481975E-06
1234,1.086203,9.215437E-07,-2.682209E-06
1234,1.342131,9.215437E-07,-2.682209E-06
1234,1.560823,9.215437E-07,-2.682209E-06
1234,1.772223,9.215437E-07,-2.682209E-06
1234,1.994495,9.215437E-07,-2.682209E-06
1234,2.205868,9.215437E-07,-2.682209E-06
1234,2.418458,9.215437E-07,-2.682209E-06
1234,2.630062,9.215437E-07,-2.682209E-06
1234,2.841748,1.850538E-06,-3.152527E-06
1234,3.064067,2.291054E-06,-3.261026E-06
1234,3.286874,2.593733E-06,-3.270339E-06
1234,3.508843,3.073364E-06,-3.47849E-06
1234,3.72071,3.467314E-06,-3.496651E-06
1234,3.943084,3.467314E-06,-3.496651E-06
1234,4.165028,3.467314E-06,-3.496651E-06
1234,4.376105,-0.2335405,-0.1363237
1234,4.587325,-0.2335404,-0.136324
1234,4.799092,-0.503824,-0.1355426
1234,5.020702,-0.5038247,-0.1355429
1234,5.233437,-0.2314405,-0.1308652
1234,5.443754,-0.2314405,-0.1308652
1234,5.655216,-0.2314405,-0.1308652
1234,5.866217,-0.002481756,0.01595532
1234,6.077339,-0.002481489,0.01595522
1234,6.288155,-0.002481489,0.01595522
1234,6.499694,-0.002481489,0.01595522
1234,6.710872,-0.002481489,0.01595522
1234,6.922177,-0.002480762,0.01595488
1234,7.133161,-0.5536171,0.464359
1234,7.343835,-0.553617,0.4643589
1234,7.55563,-0.5536167,0.4643587
1234,7.766719,-0.5536163,0.4643586
1234,7.988683,-0.5536161,0.464358
1234,8.199764,-0.5536154,0.4643577
1234,8.411176,-0.5536144,0.4643572
1234,8.63377,-0.5536137,0.4643569
1234,8.855682,-0.7582244,0.6943224
1234,9.077364,-0.7582242,0.6943223
1234,9.288996,-0.7582239,0.6943216
1234,9.511044,-0.946723,0.9092395
1234,9.722422,-0.9467223,0.9092395
1234,9.944654,-1.141937,1.1207
1234,10.16642,-1.141937,1.120699
1234,10.37792,-1.343655,1.329562
1234,10.59975,-1.343655,1.329562
1234,10.81139,-1.557603,1.543477
1234,11.02213,-1.557604,1.543477
1234,11.24439,-1.776308,1.762021
1234,11.45602,-1.776308,1.762021
1234,11.67748,-2.030252,2.019708
1234,11.8886,-2.030252,2.019708
1234,12.10036,-2.277868,2.30776
1234,12.32187,-2.277866,2.307759
1234,12.53457,-2.536705,2.620555
1234,12.75526,-2.536705,2.620555
1234,12.97745,-2.809433,2.946627
1234,13.18888,-2.809433,2.946627
1234,13.40023,-3.076658,3.285913
1234,13.62261,-3.076658,3.285913
1234,13.84475,-3.318899,3.630338
1234,14.06654,-3.318898,3.630337
1234,14.28845,-3.535118,3.983449
1234,14.49986,-3.535118,3.983449
1234,14.72192,-3.734026,4.342143
1234,14.93376,-3.902111,4.712985
1234,15.15508,-3.902111,4.712985
1234,15.36634,-4.045692,5.08616
1234,15.58973,-4.045692,5.08616
1234,15.80478,-4.154194,5.464043
1234,16.01819,-4.154194,5.464043
1234,16.23069,-4.247963,5.839549
1234,16.443,-4.247962,5.839549
1234,16.66429,-4.3222,6.206174
1234,16.87582,-4.384944,6.56664
1234,17.08721,-4.384944,6.56664
1234,17.29814,-4.448764,6.930765
1234,17.50939,-4.448764,6.930765
1234,17.72107,-4.511708,7.293222
1234,17.94287,-4.511708,7.293222
1234,18.15582,-4.561565,7.661638
1234,18.37636,-4.561565,7.661638
1234,18.58797,-4.61287,8.048347
1234,18.81016,-4.671388,8.455211
1234,19.02121,-4.671388,8.455211
1234,19.23326,-4.760565,8.889149
1234,19.45526,-4.760565,8.889149
1234,19.67713,-4.910612,9.371552
1234,19.88862,-4.910612,9.371552
1234,20.11083,-5.298838,9.978397
1234,20.32163,-5.777078,10.60666
1234,20.53388,-5.777078,10.60666
1234,20.74411,-6.376065,11.27061
1234,20.95566,-7.082804,11.96567
1234,21.17756,-7.082804,11.96567
1234,21.39992,-7.917096,12.72696
1234,21.6105,-8.868556,13.54459
1234,21.82178,-8.868556,13.54459
1234,22.03396,-9.952747,14.43192
1234,22.25534,-11.26639,15.44991
1234,22.46634,-12.72988,16.55755
1234,22.67768,-12.72988,16.55755
1234,22.89987,-14.29372,17.74538
1234,23.11083,-15.47272,18.79067
1234,23.3221,-16.5558,19.86222
1234,23.53328,-16.5558,19.86222
1234,23.74443,-17.41698,20.89664
1234,23.96657,-17.41698,20.89664
1234,24.18855,-17.41698,20.89664
1234,24.39988,-17.41698,20.89664
1234,24.61135,-17.41698,20.89664
1234,24.82308,-17.41698,20.89664
1234,25.04472,-18.79412,20.48077
1234,25.25601,-18.79412,20.48077
1234,25.47808,-19.43989,20.71972
1234,25.70008,-19.43989,20.71972
1234,25.9118,-19.43989,20.71972
1234,26.13343,-20.33465,21.31085
1234,26.34508,-20.33465,21.31085
1234,26.55631,-20.33465,21.31085
1234,26.77844,-20.33465,21.31085
1234,27.00049,-20.33465,21.31085
1234,27.22285,-20.33465,21.31085
1234,27.44555,-20.33465,21.31085
1234,27.65583,-20.33465,21.31085
1234,27.86689,-20.33465,21.31085
1234,28.07898,-20.33465,21.31085
1234,28.29994,-20.33465,21.31085
1234,28.51183,-20.33465,21.31085
1234,28.73427,-20.33465,21.31085
1234,28.95542,-20.33465,21.31085
1234,29.16646,-20.33465,21.31085
1234,29.37792,-20.33465,21.31085
1234,29.58966,-20.33465,21.31085
1234,29.81133,-20.33465,21.31085
1234,30.02235,-20.33465,21.31085
1234,30.23357,-20.33465,21.31085
1234,30.44484,-20.33465,21.31085
1234,30.65613,-20.33465,21.31085
1234,30.87787,-20.33465,21.31085
1234,31.1001,-20.33465,21.31085
1234,31.31159,-20.33465,21.31085
1234,31.52258,-20.33465,21.31085
1234,31.73487,-20.33465,21.31085
1234,31.95569,-20.33465,21.31085
1234,32.16739,-20.33466,21.31085
1234,32.38992,-20.33466,21.31085
1234,32.61151,-20.33467,21.31085
1234,32.83337,-20.33467,21.31085
1234,33.04543,-20.33467,21.31085
1234,33.26698,-20.33467,21.31085
1234,33.48904,-20.33467,21.31085
1234,33.70009,-20.33467,21.31085
1234,33.92259,-20.33467,21.31085
1234,34.13352,-20.33467,21.31085
1234,34.34548,-20.33467,21.31085
1234,34.56688,-20.33467,21.31085
1234,34.77822,-20.33467,21.31085
1234,35.00024,-20.33465,21.31085
1234,35.21146,-20.33465,21.31085
1234,35.42301,-20.33465,21.31085
1234,35.63387,-20.33465,21.31085
1234,35.84576,-20.33465,21.31085
1234,36.06734,-20.33465,21.31085
1234,36.27837,-20.33465,21.31085
1234,36.4895,-20.33465,21.31085
1234,36.70061,-20.33465,21.31085
1234,36.9586,-20.33465,21.31085
1234,37.17862,-20.33465,21.31085
1234,37.40805,-20.33465,21.31085
